TEST: valid loss  2.38 | valid ppl    10.85
| end of split   1 /  1 | epoch   1 | time:  1.13s | valid loss  4.16 | valid ppl    63.87 | learning rate 20.0000
| end of split   1 /  1 | epoch  52 | time:  0.63s | valid loss  4.58 | valid ppl    97.62 | learning rate 0.0781
| end of split   1 /  1 | epoch  53 | time:  0.64s | valid loss  4.58 | valid ppl    97.66 | learning rate 0.0781
| end of split   1 /  1 | epoch  54 | time:  0.62s | valid loss  4.58 | valid ppl    97.74 | learning rate 0.0781
| end of split   1 /  1 | epoch  55 | time:  0.62s | valid loss  4.58 | valid ppl    97.77 | learning rate 0.0781
| end of split   1 /  1 | epoch  56 | time:  0.62s | valid loss  4.58 | valid ppl    97.78 | learning rate 0.0781
| end of split   1 /  1 | epoch  57 | time:  0.63s | valid loss  4.58 | valid ppl    97.79 | learning rate 0.0195
| end of split   1 /  1 | epoch  58 | time:  0.61s | valid loss  4.58 | valid ppl    97.80 | learning rate 0.0195
| end of split   1 /  1 | epoch  59 | time:  0.65s | valid loss  4.58 | valid ppl    97.80 | learning rate 0.0195
| end of split   1 /  1 | epoch  60 | time:  0.62s | valid loss  4.58 | valid ppl    97.80 | learning rate 0.0195
| end of split   1 /  1 | epoch  61 | time:  0.62s | valid loss  4.58 | valid ppl    97.81 | learning rate 0.0195
| end of split   1 /  1 | epoch  62 | time:  0.62s | valid loss  4.58 | valid ppl    97.81 | learning rate 0.0195
| end of split   1 /  1 | epoch  63 | time:  0.62s | valid loss  4.58 | valid ppl    97.82 | learning rate 0.0195
| end of split   1 /  1 | epoch  64 | time:  0.62s | valid loss  4.58 | valid ppl    97.83 | learning rate 0.0195
| end of split   1 /  1 | epoch  65 | time:  0.62s | valid loss  4.58 | valid ppl    97.84 | learning rate 0.0195
| end of split   1 /  1 | epoch  66 | time:  0.64s | valid loss  4.58 | valid ppl    97.86 | learning rate 0.0195
| end of split   1 /  1 | epoch  67 | time:  0.62s | valid loss  4.58 | valid ppl    97.87 | learning rate 0.0195
| end of split   1 /  1 | epoch  68 | time:  0.62s | valid loss  4.58 | valid ppl    97.87 | learning rate 0.0049
| end of split   1 /  1 | epoch  69 | time:  0.63s | valid loss  4.58 | valid ppl    97.87 | learning rate 0.0049
| end of split   1 /  1 | epoch  70 | time:  0.64s | valid loss  4.58 | valid ppl    97.87 | learning rate 0.0049
| end of split   1 /  1 | epoch  71 | time:  0.62s | valid loss  4.58 | valid ppl    97.88 | learning rate 0.0049
| end of split   1 /  1 | epoch  72 | time:  0.62s | valid loss  4.58 | valid ppl    97.87 | learning rate 0.0049
| end of split   1 /  1 | epoch  73 | time:  0.62s | valid loss  4.58 | valid ppl    97.87 | learning rate 0.0049
| end of split   1 /  1 | epoch  74 | time:  0.61s | valid loss  4.58 | valid ppl    97.88 | learning rate 0.0049
| end of split   1 /  1 | epoch  75 | time:  0.64s | valid loss  4.58 | valid ppl    97.88 | learning rate 0.0049
| end of split   1 /  1 | epoch  76 | time:  0.61s | valid loss  4.58 | valid ppl    97.88 | learning rate 0.0049
| end of split   1 /  1 | epoch  77 | time:  0.61s | valid loss  4.58 | valid ppl    97.88 | learning rate 0.0049
| end of split   1 /  1 | epoch  78 | time:  0.61s | valid loss  4.58 | valid ppl    97.88 | learning rate 0.0049
| end of split   1 /  1 | epoch  79 | time:  0.61s | valid loss  4.58 | valid ppl    97.88 | learning rate 0.0012
| end of split   1 /  1 | epoch  80 | time:  0.61s | valid loss  4.58 | valid ppl    97.88 | learning rate 0.0012
| end of split   1 /  1 | epoch  81 | time:  0.61s | valid loss  4.58 | valid ppl    97.88 | learning rate 0.0012
| end of split   1 /  1 | epoch  82 | time:  0.65s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0012
| end of split   1 /  1 | epoch  83 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0012
| end of split   1 /  1 | epoch  84 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0012
| end of split   1 /  1 | epoch  85 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0012
| end of split   1 /  1 | epoch  86 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0012
| end of split   1 /  1 | epoch  87 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0012
| end of split   1 /  1 | epoch  88 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0012
| end of split   1 /  1 | epoch  89 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0012
| end of split   1 /  1 | epoch  90 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0003
| end of split   1 /  1 | epoch  91 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0003
| end of split   1 /  1 | epoch  92 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0003
| end of split   1 /  1 | epoch  93 | time:  0.63s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0003
| end of split   1 /  1 | epoch  94 | time:  0.62s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0003
| end of split   1 /  1 | epoch  95 | time:  0.62s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0003
| end of split   1 /  1 | epoch  96 | time:  0.62s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0003
| end of split   1 /  1 | epoch  97 | time:  0.62s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0003
| end of split   1 /  1 | epoch  98 | time:  0.62s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0003
| end of split   1 /  1 | epoch  99 | time:  0.62s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0003
| end of split   1 /  1 | epoch 100 | time:  0.63s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0003
| end of split   1 /  1 | epoch 101 | time:  0.68s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0001
| end of split   1 /  1 | epoch 102 | time:  0.62s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0001
| end of split   1 /  1 | epoch 103 | time:  0.69s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0001
| end of split   1 /  1 | epoch 104 | time:  0.64s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0001
| end of split   1 /  1 | epoch 105 | time:  0.62s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0001
| end of split   1 /  1 | epoch 106 | time:  0.62s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0001
| end of split   1 /  1 | epoch 107 | time:  0.65s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0001
| end of split   1 /  1 | epoch 108 | time:  0.62s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0001
| end of split   1 /  1 | epoch 109 | time:  0.62s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0001
| end of split   1 /  1 | epoch 110 | time:  0.62s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0001
| end of split   1 /  1 | epoch 111 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0001
| end of split   1 /  1 | epoch 112 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0000
| end of split   1 /  1 | epoch 113 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0000
| end of split   1 /  1 | epoch 114 | time:  0.63s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0000
| end of split   1 /  1 | epoch 115 | time:  0.62s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0000
| end of split   1 /  1 | epoch 116 | time:  0.61s | valid loss  4.58 | valid ppl    97.89 | learning rate 0.0000
TEST: valid loss  4.99 | valid ppl   146.26
